code,name,tel,email
S0145,SAMIR ODEM AUTOMOTIVE & INDUSTRIAL CO.W.L.L,,
S0067,SANA FOR ELECTRICAL & TEL. CO.,,
S0030,SANUO W.L.L,,
S0134,SAYED MOHAMMED HASHIM ALHASHIMI AND PARTNERS-PARTNERSHIP,,
S0065,SHAMA GULF TRADING & CONTRACTING (MAGIC GULF ELECTRICALS),,
S0058,SHIRAZI TRADING EST.,,
S0135,SPAKLING WONDERFUL TRADING W.L.L,,
S0143,SPECTRON ELECTRICAL APPLIANCES TRADING W.L.L,,
S0146,STABLE ELECTRICAL W.L.L,,
S0139,STAR WORLD ELECTRONICS CO. W.L.L,,
S0121,STEADFAST INTERNATIONAL TRADING CO.,,
S0106,SUN ELECTRICAL EQUIPMENTS,,
S0046,TEAMS (BAHRAIN),,
S0049,TECH TOOLS INDUSTRIAL SUPPLIES CO. W.L.L,,
S0097,TECHNO LIGHTING COMPANY W.L.L,,
S0079,TEN ELETRICAL EQUIPMENT CO. W.L.L,,
S0009,TRAVENCORE LIGHTS & ELECTRICALS CO. W.L.L,,
S0022,TRITON PLUS TRADING,,
S0052,URANS CONTRACTING,,
S0149,VALCOA BUILDING MATERIALS W.L.L,,
S0054,VENUS ELECTRICAL EQUIPMENT W.L.L,,
S0123,WEZAN LIGHTING COMPANY W.L.L,,
S0128,WHITE WAY WELDING & FABRICATION W.L.L,,
S0029,YAO GUANG LIGHTING W.L.L,,
S0160,YAO GUANG LIGHTING W.L.L  (HARDWARE),,
S0074,YOUSUF ELECTRICAL EST.,,
S0177,ZUMAS ELECTRICAL EQUIPMENTS,,
