sku,name,cost,sell_price,stock
PPRUN032,"PPR UNION 1-1/4""",1.000,0.000,4.000
PPRVQ40,PPR VALVE Q 40MM,4.000,0.000,4.000
PUFT06,PU FLEXIBLE TUBE BLUE 6MM,0.200,0.000,17.000
PUP12,PU PIPE 12MM BLUE,0.680,0.000,0.000
PUNCTP,PUNCTURE PLIER,0.000,0.000,0.000
PBNIBK,PUSH BUTTON NON ILLUMINATED BLACK - ABB,0.000,0.000,0.000
PTS015WC,PUSH TAPE STEEL WITH CASE 15MTR HD,0.000,0.000,0.000
DNC4,PVC COUPLING 32MM DD,0.000,0.000,0.000
DNC6,PVC COUPLING 50MM DD,0.000,0.000,0.000
PDE3,"PVC DOOR ELBOW 3""",0.400,0.000,1.000
PDE4,"PVC DOOR ELBOW 4""",1.300,0.000,1.000
PE11/2,PVC ELBOW 1-1/2,0.125,0.000,1.000
PVCGM50,PVC GLAND M50,0.000,0.000,0.000
PVCGM63,PVC GLAND M63,0.000,0.000,0.000
PVIT3M35,PVC INSULATION TAPE 3M SCOTCH 35,0.000,0.000,0.000
PRD025020,"PVC REDUCER BUSH HP 1""x3/4""",0.250,0.000,2.000
PVCST4025-2,PVC TRUNKING 40X25MM - EURO,0.000,0.000,0.000
R125,RADIATOR CAP R125,2.000,0.000,1.000
RCCB404003,RCCB 4P 40A 100MA - SCHNEIDER,0.000,0.000,0.000
SDF01,RE-DESIGN AND FABRICATION FOR 50 STEEL DOOR FRAMES,0.000,0.000,0.000
RLR80100,REFLECTOR LAMP R80 100W E27,0.000,0.000,0.000
LQ350,RIBBON CARTRIDGE EPSON-LQ350,2.000,0.000,3.000
281166,RJ45 + RJ11 SOCKET 2G - MALLIA,5.500,0.000,0.000
281162,RJ45 DATA OUTLET SINGLE,4.600,0.000,0.000
281152,SATELITE SOCKET,1.500,0.000,0.000
281352,SATELITE SOCKET 1G-MALLIA SILVER,2.100,0.000,0.000
SCRAP04,"SCRAPPER 4""",0.600,0.000,2.000
